id,usage-by-publication
P1709,1
P1711,19
P1712,3626
P1725,265
P1728,12
P1729,23375
P1730,885
P1733,2
P1739,87
P1741,6
P1752,31
P1753,1
P1754,6
P1755,2
P1766,4
P1773,6
P1775,1
P1789,3
P1792,2
P1795,7
P1800,911
P1801,1
P1804,546
P1807,23
P1809,6
P1810,2
P1811,3925
P1813,1917
P1814,720
P1815,293
P1816,12
P1817,14
P1821,1
P1823,20
P1827,718
P1829,8
P1830,72
P1833,43
P1840,1
P1842,9
P1844,9584
P1846,1
P1870,10
P1871,10
P1874,3152
P1877,847
P1881,294
P1889,8423
P1890,12
P1891,2
P1896,19
P1900,4
P1902,4
P1921,1
P1922,1789
P1923,3
P1933,8
P1934,46
P1938,3
P1942,253
P1946,11
P1947,1
P1951,10
P1953,75
P1954,43593
P1955,9
P1957,1526
P1960,8
P1961,4
P1963,1
P1966,7
P1968,1
P1970,1749
P1971,1
P1972,26
P1973,162
P1978,1
P1981,741
P1983,21
P1984,1022
P1985,2255
P1986,2
P1994,13
P2001,320
P2002,9718
P2003,942
P2007,15542
P2008,1458
P2011,2
P2013,6967
P2014,134
P2017,1
P2019,2
P2031,7
P2032,7
P2034,720
P2037,51
P2041,1
P2042,1
P2043,17
P2044,4
P2046,2
P2047,17307
P2048,545
P2049,470
P2061,3020
P2067,56
P2078,5
P2079,93
P2088,38
P2089,1
P2093,19896888
P2094,5
P2124,11
P2125,5
P2130,17
P2137,4
P2139,20
P2142,5
P2144,1
P2159,1
P2163,33
P2168,1
P2174,7
P2179,3
P2184,8
P2185,2
P2187,9
P2196,1
P2197,1
P2205,1090
P2206,5725
P2207,507
P2209,10
P2210,3
P2226,3
P2234,4
P2252,2
P2257,17
P2259,1
P2264,5
P2267,25
P2272,1
P2279,1
P2281,616
P2283,567
P2284,557
P2291,262
P2295,10
P2315,1
P2318,2
P2322,196
P2326,1
P2333,22
P2334,621
P2339,1
P2342,4
P2344,1
P2346,689
P2348,35
P2349,1
P2354,33
P2360,66
P2361,1
P2363,425
P2364,7985
P2369,1
P2372,17
P2373,1
P2378,3
P2388,1
P2390,2
P2397,1180
P2400,2
P2403,6
P2408,1024
P2409,62
P2413,150
P2416,1
P2427,123
P2435,1
P2437,29750
P2438,194
P2440,1
P2441,5
P2446,1
P2465,981
P2468,3
P2475,11
P2486,1
P2507,55
P2508,272
P2509,117
P2511,1
P2512,126
P2513,1
P2515,272
P2518,37
P2519,1
P2521,2
P2522,3
P2529,16087
P2530,2
P2534,2
P2535,1
P2537,8
P2540,4
P2541,88
P2550,831
P2551,2
P2554,183
P2555,9
P2558,6
P2559,4
P2561,15
P2567,5
P2568,1
P2572,216
P2578,4
P2579,1
P2581,8046
P2582,3
P2588,1
P2596,5
P2603,23796
P2604,2
P2605,1
P2607,2
P2610,32
P2612,2
P2613,1
P2619,1
P2622,4
P2623,5
P2624,18148
P2626,1
P2629,18
P2631,631
P2633,3
P2634,1
P2635,2202
P2636,1
P2637,1
P2638,21364
P2639,2368
P2647,2
P2650,32
P2652,8
P2657,13
P2664,6
P2666,39
P2667,2
P2669,500
P2670,63
P2671,450
P2675,27
P2678,38
P2679,331
P2680,10
P2683,2
P2684,349
P2687,30
P2689,20
P2699,14411
P2701,21
P2702,4
P2703,1983
P2704,13594
P2715,1
P2720,89
P2721,3510
P2722,1
P2723,367
P2724,64
P2733,221
P2735,35
P2737,1
P2738,1
P2739,62
P2747,778
P2748,1
P2750,4
P2754,141
P2755,26
P2756,8
P2758,3
P2761,14
P2768,257
P2769,13
P2770,14
P2771,7
P2782,13
P2789,4
P2812,2
P2813,4
P2814,4
P2819,199
P2826,44
P2843,1
P2847,363
P2849,31
P2850,3
P2851,1
P2860,7330578
P2868,1
P2878,6
P2879,7
P2880,55804
P2883,8
P2886,1
P2888,12
P2893,2
P2894,9
P2896,751
P2897,4
P2899,2
P2900,5
P2908,56
P2913,9
P2924,141
P2936,67
P2942,16
P2945,51
P2959,127
P2960,283
P2961,216
P2963,2
P2966,1
P2969,528
P2970,4
P2984,32
P2992,12
P2998,1
P3004,172
P3017,1
P3025,1
P3029,1
P3035,32
P3040,174
P3043,1
P3057,2
P3065,9
P3073,1
P3077,116
P3085,2
P3092,8
P3095,1
P3097,4
P3098,1
P3106,14
P3107,2647
P3108,1
P3110,34
P3121,647
P3123,4
P3125,1
P3127,385
P3129,62
P3131,81
P3132,131
P3135,103
P3138,21758
P3141,185
P3143,2399
P3145,51
P3151,1
P3153,9
P3155,84
P3156,4
P3157,7
P3174,29
P3176,23
P3180,20
P3181,245974
P3183,2
P3184,279
P3185,119
P3192,386
P3194,10
P3203,46
P3206,6
P3207,1
P3212,8400
P3215,3
P3216,4
P3217,1
P3218,21
P3219,513
P3220,2
P3221,20
P3222,151
P3224,1
P3225,29
P3231,1
P3236,229
P3241,26
P3243,1
P3258,21
P3259,1
P3265,60
P3267,15
P3274,1
P3275,1
P3276,1
P3280,5
P3281,2
P3283,1
P3285,1
P3293,1
P3300,63
P3301,308
P3302,11654
P3306,5
P3308,44
P3320,7
P3332,320
P3338,14
P3340,11
P3342,12
P3347,19
P3352,1
P3362,6
P3365,30
P3373,2
P3376,3
P3377,10
P3381,13
P3383,2
P3402,11
P3404,1
P3414,280
P3417,8783
P3418,73
P3428,1
P3429,6
P3431,29
P3434,176
P3440,4
P3442,3
P3445,4
P3447,3
P3451,1
P3454,1
P3462,3
P3463,1
P3471,1
P3473,2
P3478,68
P3479,4
P3482,3
P3483,39
P3495,559
P3499,1
P3500,72
P3502,4
P3509,22
P3544,8
P3548,1
P3553,41
P3569,58
P3575,8
P3579,260
P3589,344
P3593,10
P3597,5
P3599,1
P3608,3
P3612,1
P3630,12
P3631,110
P3634,126
P3638,1
P3642,4
P3650,13
P3673,28
P3675,4
P3702,8
P3704,3
P3705,30
P3710,14
P3712,3
P3719,2
P3721,6
P3732,16
P3733,3
P3740,2
P3743,5
P3744,6
P3749,8
P3761,4
P3762,4
P3764,6
P3768,2
P3782,1
P3784,1
P3785,7
P3789,27
P3793,3
P3794,31
P3797,2
P3803,1
P3804,863
P3808,26
P3816,2
P3818,2
P3821,1
P3827,48
P3834,2
P3836,80
P3838,4
P3839,1
P3844,2327
P3847,3
P3851,2
P3854,27
P3861,90
P3868,264
P3875,4
P3876,3
P3885,1
P3886,1
P3889,1
P3893,33
P3894,1
P3899,10
P3903,29516
P3906,552
P3912,3767
P3914,4
P3916,3
P3919,4
P3929,13
P3931,103
P3932,1
P3933,387
P3939,235
P3943,80
P3951,1
P3952,2
P3959,1027
P3961,34
P3962,120
P3964,5
P3967,1
P3975,1
P3976,148
P3977,1
P3979,1
P3984,176
P3987,4
P3991,1
P3995,10
P3996,3
P3997,4
P3999,9
P4003,1323
P4011,81
P4013,244
P4015,16
P4020,2
P4022,189
P4027,74
P4028,301
P4031,1
P4032,14
P4033,17
P4034,9
P4035,31
P4041,1
P4051,3
P4072,1
P4073,179
P4077,5
P4079,3
P4081,7
P4086,65
P4087,24
P4090,2
P4101,18
P4107,17
P4109,389
P4110,394
P4111,69
P4129,2
P4156,7
P4167,3
P4173,3
P4174,1
P4175,23
P4181,7
P4186,1
P4195,14
P4198,1
P4199,209
P4200,1
P4204,9
P4208,1
P4209,19
P4210,6
P4211,4
P4212,38
P4221,1
P4222,2931
P4223,2
P4226,1
P4228,1
P4229,1
P4230,29
P4239,1
P4247,1
P4254,16
P4255,12
P4256,1
P4258,297
P4264,93
P4265,6
P4270,56
P4271,1
P4276,686
P4277,251
P4282,127
P4286,2
P4290,15
P4293,4
P4295,2
P4300,598
P4312,1716
P4327,63471
P4329,3
P4330,2
P4342,14
P4354,298
P4387,1
P4399,1
P4400,42
P4404,641
P4411,5
P4424,1
P4431,12
P4435,3
P4437,1
P4438,1725
P4440,1
P4466,1
P4480,44
P4483,48
P4484,204
P4485,3
P4486,4
P4506,1
P4510,14948
P4511,2
P4513,7
P4515,1067
P4517,6
P4518,56
P4520,148
P4527,26
P4529,1630
P4535,3
P4549,44
P4566,2
P4569,15
P4570,4
P4577,106
P4578,13
P4579,2
P4596,7
P4603,2
P4606,2
P4608,1
P4613,28
P4614,1
P4616,2557
P4619,4
P4629,1
P4632,264
P4637,1
P4640,1
P4644,3
P4647,21
P4655,3
P4656,1
P4665,12312
P4671,1
P4685,2
P4699,2
P4700,288
P4702,1
P4706,270
P4710,1
P4722,165
P4725,13
P4726,143
P4730,1109
P4732,1
P4738,3
P4741,220
P4742,12
P4745,59
P4746,32
P4748,9
P4754,2
P4760,1
P4765,1
P4769,4
P4773,1
P4776,1
P4780,918
P4783,27
P4784,154
P4786,14
P4793,28
P4801,1
P4802,1
P4805,2
P4806,4
P4816,1
P4818,2
P4824,2
P4834,4379
P4835,15073
P4839,54
P4844,1
P4845,9
P4848,1
P4854,67
P4860,4
P4861,21
P4862,3
P4876,20
P4894,8
P4898,8
P4901,20
P4903,25
P4904,1547
P4905,81
P4908,38679
P4932,2
P4933,3745
P4945,1
P4947,932
P4948,1
P4953,9
P4956,31
P4965,3
P4969,312
P4970,2
P4973,1
P4983,6678
P4989,12
P5002,4
P5008,26093
P5017,2
P5019,6
P5026,4
P5028,6
P5030,321
P5032,2211
P5046,9
P5053,6
P5055,1
P5059,179
P5064,1
P5072,4
P5083,1
